File,Line,Style Content,Is Legitimate,Priority
components/AdminDashboardNew.tsx,285,"fontSize: '2rem', marginBottom: '0.5rem'",No,Low
components/AdminDashboardNew.tsx,286,"fontWeight: '600', color: '#2563eb', marginBottom: '0.25rem'",No,Low
components/AdminDashboardNew.tsx,287,"fontSize: '0.875rem', color: '#374151'",No,Low
components/AdminDashboardNew.tsx,290,"background: 'rgba(168, 85, 247, 0.1)',
            border: '1px solid rgba(168, 85, 247, 0.2)',
            padding: '1.5rem',
            borderRadius: '12px',
            textAlign: 'center'",No,Low
components/AdminDashboardNew.tsx,297,"fontSize: '2rem', marginBottom: '0.5rem'",No,Low
components/AdminDashboardNew.tsx,298,"fontWeight: '600', color: '#7c3aed', marginBottom: '0.25rem'",No,Low
components/AdminDashboardNew.tsx,299,"fontSize: '0.875rem', color: '#374151'",No,Low
components/AdminPageHero.tsx,46,"padding: '2rem', minHeight: 'auto'",No,Low
components/AdminPageHero.tsx,47,"margin: 0",No,Low
components/AdminPageHero.tsx,51,"marginRight: '0.5rem'",No,Low
components/AdminPageHero.tsx,56,"color: '#6b7280',
                fontSize: '1.1rem',
                marginTop: '0.5rem',
                marginBottom: '1rem'",No,Low
components/AdminPageHero.tsx,67,"color: '#6b7280',
                fontSize: '1rem',
                marginTop: '0.5rem',
                marginBottom: '1rem'",No,Low
components/AdminPageHero.tsx,79,"display: 'flex',
                justifyContent: 'flex-start',
                alignItems: 'center',
                flexWrap: 'wrap',
                gap: '0.75rem',
                marginTop: '1rem'",No,Low
components/AdminPageHero.tsx,103,"marginTop: '1.5rem',
                maxWidth: '400px'",No,Low
components/AdminPageHero.tsx,112,"width: '100%',
                    padding: '0.875rem 1.25rem',
                    fontSize: '1rem',
                    border: '2px solid rgba(68, 68, 68, 0.2)',
                    borderRadius: '12px',
                    background: 'rgba(255, 255, 255, 0.9)',
                    backdropFilter: 'blur(10px)',
                    transition: 'all 0.2s ease',
                    outline: 'none'",No,Low
components/AdminPageHero.tsx,128,"display: 'flex',
            alignItems: 'center',
            gap: '1rem',
            flexDirection: 'column'",No,Low
components/AdminPageHero.tsx,135,"display: 'flex',
                gap: '0.5rem',
                flexWrap: 'wrap'",No,Low
components/AdminPageHero.tsx,156,"background: colors.bg,
                        color: colors.text,
                        padding: '0.25rem 0.75rem',
                        borderRadius: '12px',
                        fontSize: '0.875rem',
                        fontWeight: '600',
                        whiteSpace: 'nowrap'",No,Low
components/AdminPageHero.tsx,183,"marginTop: '1.5rem',
            paddingTop: '1rem',
            borderTop: '1px solid rgba(68, 68, 68, 0.2)'",No,Low
components/AdminPageHero.tsx,194,"display: 'flex',
            justifyContent: 'flex-end',
            gap: '1rem',
            marginTop: '1rem',
            paddingTop: '1rem',
            borderTop: '1px solid rgba(68, 68, 68, 0.2)'",No,Low
components/CategorizedHashtagBubble.tsx,33,"display: 'inline-flex',
      flexDirection: 'column',
      alignItems: 'center',
      gap: '0.25rem',
      margin: '0.125rem'",No,Low
components/CategorizedHashtagInput.tsx,147,"backgroundColor: category.color",No,Low
components/CategorizedHashtagInput.tsx,159,"marginBottom: '1rem'",No,Low
components/CategorizedHashtagInput.tsx,207,"marginBottom: '1rem'",No,Low
components/ChartAlgorithmManager.tsx,302,"marginBottom: '2rem'",No,Low
components/ChartAlgorithmManager.tsx,303,"display: 'flex', justifyContent: 'space-between', alignItems: 'center', marginBottom: '1.5rem'",No,Low
components/ChartAlgorithmManager.tsx,305,"display: 'flex', gap: '0.5rem'",No,Low
components/ChartAlgorithmManager.tsx,322,"gridTemplateColumns: 'repeat(auto-fit, minmax(200px, 1fr))'",No,Low
components/ChartAlgorithmManager.tsx,365,"fontSize: '3rem', marginBottom: '1rem'",No,Low
components/ChartAlgorithmManager.tsx,367,"fontSize: '0.875rem'",No,Low
components/ChartAlgorithmManager.tsx,661,"maxWidth: '800px', maxHeight: '90vh', overflow: 'auto'",No,Low
components/charts/KPICard.tsx,212,"color: getTrendColor()",No,Low
components/charts/PieChart.tsx,218,"margin: 0",No,Low
components/charts/VerticalBarChart.tsx,229,"margin: 0",No,Low
components/ColoredHashtagBubble.tsx,135,"backgroundColor: backgroundColor,
        background: backgroundColor, // Ensure both properties are set
        color: 'white', // Force text color to always be white
        cursor: interactive ? 'pointer' : 'default',
        position: 'relative',
        display: 'inline-flex',
        alignItems: 'center',
        gap: removable ? '0.25rem' : '0',
        ...customStyle",No,Low
components/DynamicChart.tsx,126,"backgroundColor: element.color",No,Low
components/DynamicChart.tsx,135,"display: 'flex', gap: '1rem', alignItems: 'flex-start', width: '100%', height: '100%'",No,Low
